Program,Department,Total Expense,Math,English,Physics,Chemistry,Biology
Chemical Engineering,170500,2,1,3,3,2,1
Mechanical Engineering,169500,2,1,3,2,1,1
Production Engineering,170500,2,1,3,3,1,1
Environmental Engineering,160000,2,1,3,3,3,2
Materials Engineering,170000,2,1,3,3,2,1
Mechatronics Engineering,171000,2,1,3,1,1,1
Electrical Communication and Electronic Engineering,170000,2,1,3,1,1,1
Automotive Part Manufacturing Engineering,383500,2,1,3,1,1,1
Mechanical and Energy Engineering,336000,2,1,3,2,1,1
Electrical Engineering,170500,3,1,3,1,1,1
Civil Engineering,170500,3,1,3,1,1,1
Control Systems and Instrumentation Engineering,169500,3,1,3,1,1,1
Tool Engineering,170000,3,1,3,1,1,1
Computer Engineering,168000,3,1,3,1,1,1
Civil Engineering,423500,3,2,3,1,1,1
Computer Engineering,448000,3,2,2,1,1,1
Chemical Engineering,448000,3,2,3,3,2,1
Automation Engineering,448000,2,2,3,1,1,1
Electrical Communication and Electronic Engineering,448000,3,2,3,1,1,1
Environmental Engineering,448000,2,2,3,3,1,2
Electrical Engineering (Power System and Power Electronics and Energy),336000,3,2,3,1,1,1
Mechanical and Tool Engineering,336000,3,2,3,1,1,1
Printing and Packaging Technology,236000,1,1,3,2,2,1
Applied Computer Science-Multimedia,170000,1,1,2,1,1,1
Industrial Technology,167000,2,1,3,2,2,1
Educational Technology and Mass Communication,226000,2,1,3,2,1,1
Mechanical Engineering,202500,2,1,3,1,1,1
Electrical Engineering,202500,3,1,3,1,1,1
Civil Engineering,202500,3,1,3,1,1,1
Production Engineering,202500,2,1,3,3,1,1
Mathematics,162000,3,1,1,1,1,1
Chemistry,163500,2,1,1,3,2,1
Microbiology,165000,1,1,1,2,3,3
Statistics,159500,3,1,1,1,1,1
Food Science and Technology,165500,1,1,1,2,3,3
Applied Computer Science,229000,2,1,1,1,1,1
Applied Physics,164500,3,2,3,1,1,1
Media Arts,294000,1,1,1,1,1,1
Media Technology,304500,1,1,1,1,1,1
Medical and Science Media,306000,1,1,1,1,1,3
Computer Science,340800,2,2,1,1,1,1
Information Technology,254400,2,1,1,1,1,1
Architecture,751000,1,2,1,1,1,1
Interior Architecture,784000,1,2,1,1,1,1
Industrial Design,632000,1,2,1,1,1,1
Communication Design,626000,1,2,1,1,1,1
Robotics and Automation Engineering,440000,3,2,3,1,1,1
